task_id,intern_id,period,task_class,multi_state,investments,rental,k1,timer_start,timer_end,timer_running,actual_time_hours,minor_errors,major_errors,completed_at,class_name,base_class_weight,base_expected_hours,adjustment_add,adjustment_multiplier,expected_time_hours,task_output,efficiency_ratio_raw,efficiency_ratio_capped,weighted_errors,active_adjustments
T001,INT001,W1,A,0,0,0,0,2026-02-10 09:00:00,2026-02-10 10:36:00,0,1.6,0,0,2026-02-10 10:36:00,Simple Individual Return,1.0,2.0,0.0,1.0,2.0,1.0,1.25,1.25,0.0,None
T002,INT001,W1,B,0,1,0,0,2026-02-10 11:00:00,2026-02-10 14:54:00,0,3.9,0,0,2026-02-10 14:54:00,Standard Individual Return,1.35,3.5,0.15,1.15,4.0249999999999995,1.5525,1.032051282051282,1.032051282051282,0.0,investments
T003,INT001,W1,A,1,0,0,0,2026-02-11 09:10:00,2026-02-11 11:04:00,0,1.9,1,0,2026-02-11 11:04:00,Simple Individual Return,1.0,2.0,0.2,1.2,2.4,1.2,1.263157894736842,1.25,0.5,multi_state
T004,INT001,W2,C,1,1,0,1,2026-02-17 08:55:00,2026-02-17 15:25:00,0,6.5,0,0,2026-02-17 15:25:00,Complex Individual Return,2.0,6.0,0.6,1.6,9.600000000000001,3.2,1.4769230769230772,1.25,0.0,"multi_state, investments, k1"
T005,INT001,W2,B,0,0,1,0,2026-02-18 10:15:00,2026-02-18 14:39:00,0,4.4,1,0,2026-02-18 14:39:00,Standard Individual Return,1.35,3.5,0.1,1.1,3.8500000000000005,1.4850000000000003,0.875,0.875,0.5,rental
T006,INT001,W3,A,0,1,0,0,2026-02-24 09:05:00,2026-02-24 11:29:00,0,2.4,0,0,2026-02-24 11:29:00,Simple Individual Return,1.0,2.0,0.15,1.15,2.3,1.15,0.9583333333333333,0.9583333333333333,0.0,investments
T007,INT001,W3,B,0,0,0,1,2026-02-25 09:20:00,2026-02-25 13:44:00,0,4.4,0,0,2026-02-25 13:44:00,Standard Individual Return,1.35,3.5,0.25,1.25,4.375,1.6875,0.9943181818181818,0.9943181818181818,0.0,k1
T008,INT001,W4,C,1,1,1,0,2026-03-03 08:45:00,2026-03-03 16:45:00,0,8.0,1,0,2026-03-03 16:45:00,Complex Individual Return,2.0,6.0,0.44999999999999996,1.45,8.7,2.9,1.0875,1.0875,0.5,"multi_state, investments, rental"
T009,INT002,W1,A,0,0,0,0,2026-02-10 09:15:00,2026-02-10 11:57:00,0,2.7,2,0,2026-02-10 11:57:00,Simple Individual Return,1.0,2.0,0.0,1.0,2.0,1.0,0.7407407407407407,0.7407407407407407,1.0,None
T010,INT002,W1,B,0,1,0,0,2026-02-11 09:00:00,2026-02-11 14:24:00,0,5.4,3,0,2026-02-11 14:24:00,Standard Individual Return,1.35,3.5,0.15,1.15,4.0249999999999995,1.5525,0.7453703703703702,0.7453703703703702,1.5,investments
T011,INT002,W2,A,1,0,0,0,2026-02-17 10:00:00,2026-02-17 12:54:00,0,2.9,2,0,2026-02-17 12:54:00,Simple Individual Return,1.0,2.0,0.2,1.2,2.4,1.2,0.8275862068965517,0.8275862068965517,1.0,multi_state
T012,INT002,W3,C,0,1,1,0,2026-02-24 08:45:00,2026-02-24 16:39:00,0,7.9,4,1,2026-02-24 16:39:00,Complex Individual Return,2.0,6.0,0.25,1.25,7.5,2.5,0.9493670886075949,0.9493670886075949,3.5,"investments, rental"
T013,INT002,W4,B,1,1,0,1,2026-03-03 09:10:00,2026-03-03 15:16:00,0,6.1,3,0,2026-03-03 15:16:00,Standard Individual Return,1.35,3.5,0.6,1.6,5.6000000000000005,2.16,0.918032786885246,0.918032786885246,1.5,"multi_state, investments, k1"
T014,INT003,W1,B,1,1,0,0,2026-02-10 09:05:00,2026-02-10 14:59:00,0,5.9,1,1,2026-02-10 14:59:00,Standard Individual Return,1.35,3.5,0.35,1.35,4.7250000000000005,1.8225000000000002,0.8008474576271187,0.8008474576271187,2.0,"multi_state, investments"
T015,INT003,W1,C,1,1,1,1,2026-02-11 08:50:00,2026-02-11 17:50:00,0,9.0,2,1,2026-02-11 17:50:00,Complex Individual Return,2.0,6.0,0.7,1.7,10.2,3.4,1.1333333333333333,1.1333333333333333,2.5,"multi_state, investments, rental, k1"
T016,INT003,W1,A,0,0,0,1,2026-02-12 09:10:00,2026-02-12 12:04:00,0,2.9,1,0,2026-02-12 12:04:00,Simple Individual Return,1.0,2.0,0.25,1.25,2.5,1.25,0.8620689655172414,0.8620689655172414,0.5,k1
T017,INT003,W2,B,0,1,1,0,2026-02-17 09:15:00,2026-02-17 15:15:00,0,6.0,2,1,2026-02-17 15:15:00,Standard Individual Return,1.35,3.5,0.25,1.25,4.375,1.6875,0.7291666666666666,0.7291666666666666,2.5,"investments, rental"
T018,INT003,W2,C,1,0,1,1,2026-02-18 08:40:00,2026-02-18 17:34:00,0,8.9,2,2,2026-02-18 17:34:00,Complex Individual Return,2.0,6.0,0.55,1.55,9.3,3.1,1.0449438202247192,1.0449438202247192,4.0,"multi_state, rental, k1"
T019,INT003,W3,A,0,1,0,0,2026-02-24 09:00:00,2026-02-24 11:30:00,0,2.5,1,0,2026-02-24 11:30:00,Simple Individual Return,1.0,2.0,0.15,1.15,2.3,1.15,0.9199999999999999,0.9199999999999999,0.5,investments
T020,INT003,W3,B,1,0,0,1,2026-02-25 09:25:00,2026-02-25 15:25:00,0,6.0,1,1,2026-02-25 15:25:00,Standard Individual Return,1.35,3.5,0.45,1.45,5.075,1.9575,0.8458333333333333,0.8458333333333333,2.0,"multi_state, k1"
T021,INT003,W4,A,0,0,0,0,2026-03-03 09:30:00,2026-03-03 11:48:00,0,2.3,0,0,2026-03-03 11:48:00,Simple Individual Return,1.0,2.0,0.0,1.0,2.0,1.0,0.8695652173913044,0.8695652173913044,0.0,None
T022,INT003,W4,C,0,1,0,1,2026-03-04 08:55:00,2026-03-04 16:25:00,0,7.5,1,1,2026-03-04 16:25:00,Complex Individual Return,2.0,6.0,0.4,1.4,8.399999999999999,2.8,1.1199999999999999,1.1199999999999999,2.0,"investments, k1"
T023,INT004,W1,A,0,0,0,0,2026-02-10 10:10:00,2026-02-10 12:10:00,0,2.0,0,0,2026-02-10 12:10:00,Simple Individual Return,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,None
T024,INT004,W2,B,0,0,1,0,2026-02-18 10:05:00,2026-02-18 14:29:00,0,4.4,0,1,2026-02-18 14:29:00,Standard Individual Return,1.35,3.5,0.1,1.1,3.8500000000000005,1.4850000000000003,0.875,0.875,1.5,rental
T025,INT004,W3,C,0,1,0,1,2026-02-24 09:30:00,2026-02-24 16:48:00,0,7.3,0,0,2026-02-24 16:48:00,Complex Individual Return,2.0,6.0,0.4,1.4,8.399999999999999,2.8,1.1506849315068493,1.1506849315068493,0.0,"investments, k1"
T026,INT004,W4,A,1,0,0,0,2026-03-03 10:00:00,2026-03-03 12:24:00,0,2.4,1,0,2026-03-03 12:24:00,Simple Individual Return,1.0,2.0,0.2,1.2,2.4,1.2,1.0,1.0,0.5,multi_state
T027,INT005,W1,A,0,0,0,0,2026-02-10 09:40:00,2026-02-10 11:34:00,0,1.9,0,0,2026-02-10 11:34:00,Simple Individual Return,1.0,2.0,0.0,1.0,2.0,1.0,1.0526315789473684,1.0526315789473684,0.0,None
T028,INT005,W1,B,0,1,0,0,2026-02-11 09:20:00,2026-02-11 13:38:00,0,4.3,1,0,2026-02-11 13:38:00,Standard Individual Return,1.35,3.5,0.15,1.15,4.0249999999999995,1.5525,0.9360465116279069,0.9360465116279069,0.5,investments
T029,INT005,W2,C,1,1,0,1,2026-02-17 09:00:00,2026-02-17 16:30:00,0,7.5,0,1,2026-02-17 16:30:00,Complex Individual Return,2.0,6.0,0.6,1.6,9.600000000000001,3.2,1.2800000000000002,1.25,1.5,"multi_state, investments, k1"
T030,INT005,W2,A,0,1,0,0,2026-02-18 09:50:00,2026-02-18 12:14:00,0,2.4,1,0,2026-02-18 12:14:00,Simple Individual Return,1.0,2.0,0.15,1.15,2.3,1.15,0.9583333333333333,0.9583333333333333,0.5,investments
T031,INT005,W3,B,1,0,1,0,2026-02-24 09:10:00,2026-02-24 14:22:00,0,5.2,2,0,2026-02-24 14:22:00,Standard Individual Return,1.35,3.5,0.30000000000000004,1.3,4.55,1.7550000000000001,0.8749999999999999,0.8749999999999999,1.0,"multi_state, rental"
T032,INT005,W4,C,0,0,1,1,2026-03-04 09:05:00,2026-03-04 17:05:00,0,8.0,1,1,2026-03-04 17:05:00,Complex Individual Return,2.0,6.0,0.35,1.35,8.100000000000001,2.7,1.0125000000000002,1.0125000000000002,2.0,"rental, k1"
